

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
146.649  000.430  000.430: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/menu_controller.vim
147.123  000.311  000.311: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/menu_item.vim
147.674  000.368  000.368: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/key_map.vim
148.349  000.496  000.496: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/bookmark.vim
149.025  000.474  000.474: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/tree_file_node.vim
150.182  001.001  001.001: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/tree_dir_node.vim
150.927  000.558  000.558: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/opener.vim
151.990  000.692  000.692: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/creator.vim
152.558  000.320  000.320: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/flag_set.vim
153.196  000.441  000.441: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/nerdtree.vim
154.166  000.693  000.693: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/ui.vim
154.638  000.219  000.219: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/event.vim
155.103  000.266  000.266: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/lib/nerdtree/notifier.vim
155.951  000.687  000.687: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/autoload/nerdtree/ui_glue.vim
161.140  000.320  000.320: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/nerdtree_plugin/exec_menuitem.vim
162.360  001.131  001.131: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/nerdtree_plugin/fs_menu.vim
163.290  000.695  000.695: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-devicons/nerdtree_plugin/webdevicons.vim
164.933  022.554  012.079: sourcing /Users/fmccabe/.local/share/nvim/plugged/nerdtree/plugin/NERD_tree.vim
167.857  000.312  000.312: sourcing /Users/fmccabe/.local/share/nvim/plugged/denite.nvim/autoload/denite/custom.vim
168.431  000.380  000.380: sourcing /Users/fmccabe/.local/share/nvim/plugged/denite.nvim/autoload/denite/util.vim
169.707  004.501  003.810: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-devicons/plugin/webdevicons.vim
170.938  000.848  000.848: sourcing /Users/fmccabe/.local/share/nvim/plugged/neomake/plugin/neomake.vim
172.031  000.652  000.652: sourcing /Users/fmccabe/.local/share/nvim/plugged/neoterm/plugin/neoterm.vim
173.211  000.953  000.953: sourcing /Users/fmccabe/.local/share/nvim/plugged/LanguageClient-neovim/plugin/LanguageClient.vim
173.890  000.373  000.373: sourcing /Users/fmccabe/.local/share/nvim/plugged/atags.vim/plugin/atags.vim
175.348  001.241  001.241: sourcing /Users/fmccabe/.local/share/nvim/plugged/tagbar/plugin/tagbar.vim
176.259  000.602  000.602: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-autoformat/plugin/autoformat.vim
177.614  001.265  001.265: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-autoformat/plugin/defaults.vim
178.074  000.247  000.247: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-autoformat/plugin/utils.vim
179.443  000.596  000.596: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-test/autoload/test.vim
180.324  002.036  001.439: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-test/plugin/test.vim
181.347  000.548  000.548: sourcing /Users/fmccabe/.local/share/nvim/plugged/highlighter.nvim/plugin/highlighter.vim
181.996  000.296  000.296: sourcing /Users/fmccabe/.local/share/nvim/plugged/lightline-buffer/plugin/lightline/buffer.vim
198.649  016.381  016.381: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-unimpaired/plugin/unimpaired.vim
201.314  001.210  001.210: sourcing /Users/fmccabe/.local/share/nvim/plugged/editorconfig-vim/plugin/editorconfig.vim
202.184  000.401  000.401: sourcing /Users/fmccabe/.local/share/nvim/plugged/neco-syntax/plugin/necosyntax.vim
203.314  000.752  000.752: sourcing /Users/fmccabe/.local/share/nvim/plugged/Colorizer/plugin/ColorizerPlugin.vim
205.339  000.637  000.637: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-gitgutter/autoload/gitgutter/utility.vim
206.500  000.348  000.348: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-gitgutter/autoload/gitgutter/highlight.vim
207.247  003.497  002.513: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-gitgutter/plugin/gitgutter.vim
